CELL_ID,outflow,inflow,total
다사70005075,6913.99,6441.99,13355.98
다사50004300,6702.42,6640.27,13342.69
다사59004700,6558.36,6774.51,13332.87
다사57256025,6666.15,6637.96,13304.11
다사53255225,6702.2,6595.06,13297.26
다사56754325,6669.29,6623.37,13292.66
다사68504900,6738.46,6550.93,13289.39
다사59505125,5723.65,7550.81,13274.47
다사52755175,6800.98,6459.86,13260.84
다사54255250,6566.2,6690.62,13256.82
다사57004625,6897.13,6349.67,13246.8
다사58004525,6394.64,6845.13,13239.77
다사47504375,6596.42,6605.93,13202.35
다사58505825,6698.99,6490.88,13189.87
다사46504850,6585.87,6566.92,13152.78
다사46255325,6445.62,6669.16,13114.79
다사61255150,6625.57,6485.84,13111.41
다사59754975,6774.61,6335.43,13110.03
다사61755975,6645.42,6457.03,13102.44
다사57254275,6593.94,6508.31,13102.24
다사51504925,6381.16,6711.57,13092.74
다사58755150,6588.73,6463.67,13052.41
다사56754575,6627.48,6422.08,13049.56
다사48754700,6612.18,6432.66,13044.83
다사58255225,6569.61,6471.27,13040.87
다사66004275,6518.34,6500.91,13019.25
다사68505025,6715.85,6288.02,13003.87
다사59504050,6603.13,6398.98,13002.11
다사56755225,6594.61,6405.15,12999.76
다사49254350,6475.14,6513.34,12988.48
다사67004900,6395.15,6567.75,12962.9
다사47504675,6329.78,6610.19,12939.97
다사51754900,6555.63,6368.76,12924.39
다사49504700,6438.71,6453.93,12892.65
다사57255675,6529.87,6358.5,12888.37
다사63254325,6676.6,6210.92,12887.52
다사43504625,6439.36,6438.83,12878.19
다사52505225,6414.11,6460.56,12874.68
다사60754375,6517.05,6340.61,12857.66
다사68004875,6360.71,6461.09,12821.8
다사50255150,7489.35,5318.73,12808.08
다사55005250,6092.42,6708.29,12800.71
다사61005300,6463.73,6327.92,12791.66
다사57254625,6299.41,6490.19,12789.61
다사59505325,6354.24,6426.03,12780.27
다사60256175,6403.93,6372.79,12776.73
다사62004825,6515.19,6257.95,12773.14
다사58005900,6535.26,6229.63,12764.89
다사48505675,6559.01,6193.07,12752.08
다사56504825,6279.17,6468.31,12747.48
다사63754950,6523.78,6217.52,12741.31
다사68754850,6384.02,6324.85,12708.87
다사57505625,6610.42,6096.73,12707.15
다사42005100,6306.83,6376.43,12683.27
다사48505975,6352.06,6328.47,12680.52
다사49004400,6417.43,6248.35,12665.78
다사63754900,6456.09,6209.6,12665.7
다사52505050,6342.15,6317.4,12659.55
다사49005625,6416.14,6234.21,12650.34
다사46754000,6387.33,6252.45,12639.77
다사56754475,6461.7,6176.53,12638.24
다사43504575,6387.74,6243.11,12630.85
다사54255175,6088.16,6536.91,12625.07
다사62755825,6322.41,6292.61,12615.02
다사53004325,6407.82,6205.82,12613.65
다사60754575,6157.39,6440.55,12597.93
다사58005175,6258.15,6334.55,12592.71
다사49005025,7697.42,4891.58,12589.0
다사51004500,6284.36,6297.38,12581.73
다사48504750,6332.26,6245.19,12577.46
다사48005375,6226.76,6346.86,12573.61
다사59006175,6237.0,6311.88,12548.88
다사41754925,6163.04,6385.09,12548.14
다사43254525,6387.52,6159.05,12546.56
다사59005325,6397.83,6132.27,12530.1
다사59254725,6221.61,6300.86,12522.47
다사47504650,5894.48,6615.2,12509.68
다사68254150,6276.4,6214.5,12490.9
다사60504200,6339.39,6121.03,12460.42
다사49255550,6388.75,6070.54,12459.29
다사51504425,6310.11,6133.2,12443.31
다사38755225,6286.35,6140.81,12427.16
다사64505550,6175.98,6240.82,12416.8
다사67004850,5982.05,6395.8,12377.85
다사51754500,8331.76,4045.51,12377.27
다사53254275,6096.21,6253.37,12349.58
다사54755150,6139.57,6205.05,12344.62
다사57006250,6227.32,6111.07,12338.39
다사55254250,6196.98,6123.79,12320.78
다사53255250,6167.85,6119.77,12287.62
다사50255050,5529.12,6744.98,12274.1
다사59004400,6113.19,6150.09,12263.28
다사55754500,6193.15,6055.58,12248.73
다사65004675,6361.69,5880.12,12241.81
다사54505200,6063.5,6171.9,12235.4
다사50754575,6016.37,6201.13,12217.5
다사59504750,6084.58,6128.39,12212.98
다사62005350,6157.38,6055.22,12212.6
다사65504700,6231.42,5976.92,12208.33
다사48505550,5949.11,6230.88,12179.99
다사62754800,6144.06,6029.15,12173.21
다사61755700,6120.2,6033.82,12154.01
다사58005125,6105.98,6042.26,12148.24
다사62506125,6316.13,5827.65,12143.78
다사43004375,6127.14,5997.73,12124.87
다사60754600,6052.79,6045.23,12098.01
다사56754425,6242.37,5833.66,12076.03
다사64754625,6084.16,5986.17,12070.34
다사66754250,6165.4,5900.76,12066.16
다사57504575,5926.64,6134.09,12060.73
다사57754525,5900.87,6143.68,12044.55
다사43754650,6078.58,5959.32,12037.91
다사54005000,6197.44,5838.24,12035.68
다사61754850,6031.57,5991.67,12023.24
다사65004525,5963.02,6041.38,12004.4
다사45504525,6078.73,5918.48,11997.21
다사53505100,5971.34,6020.57,11991.92
다사51754225,5687.65,6299.29,11986.93
다사50004475,6059.87,5925.18,11985.06
다사54255275,6084.38,5895.75,11980.14
다사58754275,5970.23,6005.74,11975.97
다사45754525,6024.24,5948.64,11972.88
다사55505700,7811.24,4156.06,11967.3
다사64255400,5888.69,6073.91,11962.59
다사48755550,6145.61,5807.26,11952.87
다사59504600,5991.09,5948.79,11939.88
다사58755575,6018.73,5919.11,11937.84
다사48255600,5812.33,6121.93,11934.26
다사53255050,5425.29,6505.56,11930.86
다사64504650,5808.06,6118.0,11926.06
다사63504850,5920.14,5999.44,11919.58
다사55254900,5909.05,5990.27,11899.32
다사58505700,5750.29,6104.79,11855.09
다사59004750,5777.45,6074.4,11851.85
다사46254625,5733.45,6114.92,11848.38
다사43254625,6041.62,5802.89,11844.51
다사48505575,5930.17,5910.89,11841.05
다사62756125,5714.59,6118.11,11832.71
다사47003950,5900.57,5929.27,11829.85
다사60006125,5865.74,5957.54,11823.28
다사52254375,6051.43,5765.55,11816.98
다사61005900,6019.43,5787.18,11806.61
다사41755175,5876.31,5906.37,11782.68
다사53254850,5791.54,5982.91,11774.45
다사66754925,5895.31,5874.24,11769.55
다사59254650,5902.68,5853.49,11756.17
다사60504425,5618.96,6129.02,11747.98
다사68005075,6174.27,5568.32,11742.59
다사66754750,5916.61,5823.69,11740.3
다사58255750,5957.78,5778.92,11736.7
다사45504550,6058.74,5675.26,11734.01
다사58005875,5810.9,5920.31,11731.21
다사62505675,5863.58,5846.37,11709.95
다사53505075,5850.0,5859.69,11709.69
다사62004575,5608.49,6094.11,11702.61
다사47004225,5919.56,5773.44,11693.0
다사48505725,5915.41,5768.3,11683.72
다사63754550,5850.24,5830.78,11681.02
다사56505450,5926.77,5751.34,11678.12
다사58256025,5702.65,5963.35,11665.99
다사67754700,5973.76,5678.23,11651.99
다사43504450,5754.2,5894.19,11648.39
다사47755625,5900.97,5744.31,11645.28
다사41754775,5958.81,5674.27,11633.08
다사62004275,5887.77,5741.15,11628.92
다사51254350,5915.07,5699.17,11614.24
다사62255250,5622.89,5972.0,11594.9
다사69505175,5772.12,5819.01,11591.13
다사47004750,5900.42,5684.53,11584.95
다사49004550,5897.01,5671.54,11568.55
다사50754950,5832.62,5733.37,11565.98
다사58005425,2531.3,9021.85,11553.15
다사65254725,5960.29,5574.26,11534.54
다사46504675,5639.8,5892.77,11532.57
다사66504300,5712.91,5817.03,11529.93
다사41754950,5941.72,5584.65,11526.37
다사68755100,5931.89,5590.23,11522.12
다사57755275,5773.67,5747.77,11521.44
