d_cell_id,공원명,공원종류
다사54005375,청와대로 동행 Cheongwadae-ro Eastbound,러너코스
다사49255925,은평뉴타운 실개천 약한 다운힐_by Jake,러너코스
다사63504750,잠실대교>청담대교,러너코스
다사59503650,청계산-(옥녀봉갈림길-매봉),러너코스
다사43254325,목감천 5km run,러너코스
다사44754850,파리공원,러너코스
다사57505075,응봉공원 loop,러너코스
다사52254425,Danjak evergreen decent ,러너코스
다사56006200,△북한산: Ui-Dong Road Climb,러너코스
다사66254350,훼밀리아파트5KM-마트조형물시작,러너코스
다사39504900,MC route A구간,러너코스
다사56256025,북한산 둘레길 3코스 / Bukhansan Trail #3,러너코스
다사62506250,Segment,러너코스
다사49504625,여의도LSD코스-8Km,러너코스
다사64755100,to the ridge of Mt. Acha,러너코스
다사48753975,시흥2동 266 2487 Climb,러너코스
다사44754175,옥레발 조깅코스,러너코스
다사72005200,망월천 한바퀴 (시계),러너코스
다사45005025,Yanghwagyo - Han,러너코스
다사52004700,마포TR 6KM,러너코스
다사59753675,청계산-(옥녀봉갈림길-매봉),러너코스
다사47253725,Segment,러너코스
다사45504625,Crossing - downhill,러너코스
다사55754325,New hill out back,러너코스
다사69754325,항동 128 3 Climb,러너코스
다사50256100,북한산 둘레길 10코스 / Bukhansan Trail #10(NEW),러너코스
다사51755675,홍은1동 산1 70 Climb,러너코스
다사49003925,Anyang - KwanAc Trail run,러너코스
다사58506425,Segment,러너코스
다사48504675,샛강생태공원(E2W),러너코스
다사47753575,Anyang - KwanAc Trail run,러너코스
다사50506050,북한산 둘레길 9코스 / Bukhansan Trail #9,러너코스
다사48253925,관악벽산-호압사,러너코스
다사61506100,중랑천육교↔당현천,러너코스
다사58755250,Cheongy 4.5k out,러너코스
다사47255325,bulgwang stream(불광천) 5km,러너코스
다사68004450,성내천 2.7km,러너코스
다사51505575,북한산자락길 (부분 개통),러너코스
다사51256150,북한산 둘레길 10코스 / Bukhansan Trail #10(NEW),러너코스
다사49506000,이말산 (구파발-하나고),러너코스
다사65754150,율현공원 cc,러너코스
다사65755575,Segment,러너코스
다사48255200,사천교~홍제천 합수부 왕복(5.0km),러너코스
다사54755725,정릉3동 산1 278 Climb,러너코스
다사65504950,광진교(북->남),러너코스
다사62004375,양재천 1.5km (kooR),러너코스
다사63005925,과기대 200m 업힐 @ddamdo,러너코스
다사56756125,Segment,러너코스
다사50756150,북한산 둘레길 10코스 / Bukhansan Trail #10(NEW),러너코스
다사51256225,북한산 둘레길 10코스 / Bukhansan Trail #10(NEW),러너코스
다사51754475,Danjak evergreen decent ,러너코스
다사51254075,서울대트랙,러너코스
다사57753975,Yangjaecheon Mile,러너코스
다사54006200,△북한산: East Gate to Baekundae Gate,러너코스
다사60004050,Segment,러너코스
다사50506150,북한산 둘레길 10코스 / Bukhansan Trail #10(NEW),러너코스
다사62505350,동대문마라톤10K코스,러너코스
다사56505925,Segment,러너코스
다사62505225,동대문마라톤10K코스,러너코스
다사72255150,망월천 한바퀴 (시계),러너코스
다사66254925,광진교(북->남),러너코스
다사55254550,Seoul Flyers 10k Loop,러너코스
다사60753900,서초더샵포레 1단지~서초더샵포레 7단지 ,러너코스
다사54255000,Namsan loop,러너코스
다사61004325,양재천 10K,러너코스
다사58754150,양재천 10K,러너코스
다사63505775,먹골교 Last 1km,러너코스
다사66004175,(헌릉로757길) 1.25K 직선 아스팔트구간,러너코스
다사56255975,Segment,러너코스
다사63005775,먹골교 Last 1km,러너코스
다사58004950,Foot Bridge,러너코스
다사59506625,Segment,러너코스
다사45254100,안양천 코스,러너코스
다사59254800,잠실TR 10KM,러너코스
다사58254950,[HUMANRACE] 뚝섬TR 10K,러너코스
다사67005125,고덕교-광나루공원-고덕교_13k_BY.캐훈,러너코스
다사60004025,Segment,러너코스
다사63005675,봉화산 한바퀴(성덕사 약수터 큰바위),러너코스
다사60004775,잠실TR 10KM,러너코스
다사60504300,양재천 10K,러너코스
다사60256525,상도교 → 장암대교 (중랑천 서쪽),러너코스
다사62505300,동대문마라톤10K코스,러너코스
다사58004250,Mt. Umyeon (우면산) sidewalk (east),러너코스
다사55755000,Namsan loop,러너코스
다사67254425,Detention Center Uphill-2_JK,러너코스
다사67255225,구리암사대교구리,러너코스
다사64004925,광장동 381 22 Climb,러너코스
다사71005050,Goduck 6km,러너코스
다사67254700,Around Seoul Olympic Park ,러너코스
다사61003950,서초더샵포레 1단지~서초더샵포레 7단지 ,러너코스
다사62005425,동대문마라톤10K코스,러너코스
다사62504175,대모-구룡/Daemo-Guryong Ridge,러너코스
다사59505250,Yongdu - Sindap - Yongdap,러너코스
다사70505175,Goduck 6km,러너코스
다사61505900,한천교 → 당현4교,러너코스
다사67505200,구리암사대교구리,러너코스
다사62255575,[휴레] 중랑TT Part 2,러너코스
다사72255175,망월천 한바퀴 (시계),러너코스
