CELL_ID,outflow,inflow,total
다사66504875,5779.2,5909.4,11688.6
다사50005050,5752.95,5935.65,11688.6
다사43754750,5879.3,5805.1,11684.4
다사57006250,5910.1,5766.95,11677.05
다사58254575,5941.25,5734.05,11675.3
다사46254300,5831.7,5838.7,11670.4
다사57505500,6057.8,5612.25,11670.05
다사59005050,5895.4,5774.65,11670.05
다사46005275,5916.75,5753.3,11670.05
다사49005775,5881.75,5782.35,11664.1
다사59505125,4791.15,6872.95,11664.1
다사48505575,5839.4,5818.4,11657.8
다사49254975,5975.9,5667.2,11643.1
다사61256125,5834.85,5789.35,11624.2
다사67004875,5790.05,5828.9,11618.95
다사45254500,5742.45,5875.1,11617.55
다사41504800,5882.45,5726.35,11608.8
다사60006325,5880.0,5727.4,11607.4
다사65004550,5681.9,5918.5,11600.4
다사66004700,5797.05,5801.25,11598.3
다사49005150,5713.4,5879.3,11592.7
