CELL_ID,mclp_green_walk_score_0_1
다사53005725,0.0
다사53005750,0.0
다사53005775,0.0
다사53253975,0.0
다사53254000,0.0
다사53254025,0.0
다사53254050,0.0
다사53005900,0.0
다사53253900,0.0
다사53253925,0.0
다사53253950,0.0
다사53005400,0.0
다사53005425,0.0
다사53005450,0.0
다사53005475,0.0
다사53005300,0.0
다사53005325,0.0
다사53005350,0.0
다사53005375,0.0
다사53005600,0.0
다사53005625,0.0
다사53005650,0.0
다사53005675,0.0
다사53005500,0.0
다사53005525,0.0
다사53005550,0.0
다사53005575,0.0
다사53254575,0.0
다사53254600,0.0
다사53254625,0.0
다사53254650,0.0
다사53254475,0.0
다사53254500,0.0641685235505448
다사53254525,0.334985138238715
다사53254550,0.0
다사53254775,0.0
다사53254800,0.04345198864022009
다사53254825,0.6986915028958067
다사53254850,0.3414054554596996
다사53254675,0.5627610039644366
다사53254700,0.13287714334836673
다사53254725,0.022235029352960217
다사53254750,0.0
다사53254175,0.17085424095501905
다사53254200,0.10803211439883882
다사53254225,0.0
다사53254250,0.0
다사53254075,0.0
다사53254100,0.0
다사53254125,0.0
다사53254150,0.0
다사53254375,0.0
다사53254400,0.0
다사53254425,0.0
다사53254450,0.0
다사53254275,0.6590169870831184
다사53254300,0.3655731038659131
다사53254325,0.1466027323566943
다사53254350,0.0
다사71755025,0.0
다사71755050,0.0
다사71755075,0.0
다사71755100,0.0
다사71505250,0.0
다사71754950,0.0
다사71754975,0.0
다사71755000,0.021888137274682685
다사72005000,4.260119718750108e-05
다사72005025,0.0
다사71755125,0.0
다사71755150,0.0
다사72004950,0.0
다사72004975,0.0
다사71004975,0.615683816231344
다사71005000,1.0
다사71005025,1.0
다사71005050,1.0
다사70755275,0.002272360102550779
다사70755300,0.05974493542405361
다사70755325,0.0
다사71004950,0.3333322173660371
다사71005175,0.005143452947704199
다사71005200,0.5762896550505705
다사71005225,0.009467167293129736
다사71005250,0.0
다사71005075,0.01724471474829624
다사71005100,0.007269745256550574
다사71005125,0.028629924266354346
다사71005150,0.6601491513704898
다사70754975,0.6970368545288246
다사70755000,1.0
다사70755025,0.022427733349435857
다사70755050,1.0
다사70505275,0.0
다사70505300,0.0
다사70505325,0.0
다사70754950,0.5322348778408074
다사70755175,0.0
다사70755200,0.0
다사70755225,0.0
다사70755250,0.0
다사70755075,1.0
다사70755100,1.0
다사70755125,1.0
다사70755150,0.10841094441298597
다사71504950,0.0
다사71504975,0.021556118346309446
다사71505000,0.001731541497426249
다사71505025,0.0
다사71255275,0.0
다사71255300,0.025716108201820333
다사71255325,0.003260292814587299
다사71255350,0.0
다사71505150,0.0
다사71505175,0.0
다사71505200,0.3386692747221454
다사71505225,0.020763109155777802
다사71505050,0.0
다사71505075,0.0
다사71505100,0.0
다사71505125,0.0
다사71254975,0.025164599552469122
다사71255000,0.0
다사71255025,0.0
다사71255050,0.0
다사71005275,0.0
다사71005300,0.07212127452599314
다사71005325,0.0
다사71254950,0.0
다사71255175,0.09927808828047667
다사71255200,0.22057556180245358
다사71255225,0.001536875477829235
다사71255250,0.0
다사71255075,0.0
다사71255100,0.0
다사71255125,0.007874037944487502
다사71255150,0.13144026192454844
다사70005000,0.8171072085698334
다사70005025,0.2230050680029226
다사70005050,0.0
다사70005075,1.0
다사70004900,0.0038116185818700674
다사70004925,0.0
다사70004950,0.5076325691635779
다사70004975,0.003569358323090774
다사70005200,0.0
다사70005225,0.007947708771557354
다사70005250,0.0
다사70005275,0.0
다사70005100,0.004355477857292001
다사70005125,0.9188593041867102
다사70005150,0.0
다사70005175,0.0
다사69755050,0.182915105368886
다사69755075,0.6606853354331167
다사69755100,0.0
다사69755125,0.9198872100745952
다사69754950,0.618849258869391
다사69754975,0.0
다사69755000,0.8515284834735212
다사69755025,0.0
다사69755250,0.0
다사69755275,0.0
다사70004425,0.0
다사70004450,0.0
다사69755150,0.0
다사69755175,0.0
다사69755200,0.0
다사69755225,0.04038265302666641
다사70504975,0.6890761636821063
다사70505000,1.0
다사70505025,0.5622335896151134
다사70505050,1.0
다사70255300,0.0
다사70255325,0.0
다사70504925,0.0
다사70504950,0.8628766324098781
다사70505175,0.0
다사70505200,0.0
다사70505225,0.0
다사70505250,0.0
다사70505075,1.0
다사70505100,0.138572047945073
다사70505125,0.24835205708011007
다사70505150,0.01167410879970286
다사70255000,1.0
다사70255025,0.6460009809128795
다사70255050,0.844087465872179
다사70255075,1.0
다사70005300,0.0
다사70254925,0.0
다사70254950,0.6448873523442256
다사70254975,0.013327345578108251
다사70255200,0.0
다사70255225,0.0
다사70255250,0.0
다사70255275,0.0
다사70255100,1.0
