CELL_ID,공원겹침비율
다사65504675,0.0
다사65504700,0.0
다사65504925,0.0
다사65504950,0.0
다사65504975,0.0
다사65505000,0.0
다사65504825,0.192
다사65504850,0.367
다사65504875,0.037
다사65504900,0.0
다사65254475,0.0
다사65254500,0.0
다사65254525,0.013
다사65254550,0.0
다사65254375,0.0
다사65254400,0.0
다사65254425,0.0
다사65254450,0.0
다사65254675,0.0
다사65254700,0.0
다사65254725,0.0
다사65254750,0.039
다사65254575,0.18
다사65254600,0.085
다사65254625,0.0
다사65254650,0.0
다사65254075,0.0
다사65254100,0.0
다사65254125,0.0
다사65254150,0.0
다사65006025,0.282
다사65006050,0.0
다사65254025,0.0
다사65254050,0.0
다사65254275,0.0
다사65254300,0.255
다사65254325,0.325
다사65254350,0.158
다사65254175,0.0
다사65254200,0.0
다사65254225,0.0
다사65254250,0.0
다사65255500,1.0
다사65255525,0.991
다사65255550,0.641
다사65255575,0.0
다사65255400,1.0
다사65255425,1.0
다사65255450,1.0
다사65255475,1.0
다사65255700,0.0
다사65255725,0.0
다사65255750,0.0
다사65255775,0.0
다사65255600,0.003
다사65255625,0.059
다사65255650,0.0
다사65255675,0.0
다사65254875,0.0
다사65254900,0.0
다사65254925,0.0
다사65254950,0.0
다사65254775,0.471
다사65254800,0.359
다사65254825,0.09
다사65254850,0.0
다사65255075,0.0
다사65255100,0.0
다사65255350,0.039
다사65255375,0.811
다사65254975,0.0
다사65255000,0.0
다사65255025,0.0
다사65255050,0.0
다사65004750,0.614
다사65004775,0.12
다사65004800,0.0
다사65004825,0.0
다사65004650,0.0
다사65004675,0.0
다사65004700,0.0
다사65004725,0.093
다사65004950,0.0
다사65004975,0.0
다사65005000,0.0
다사65005025,0.0
다사65004850,0.0
다사65004875,0.0
다사65004900,0.0
다사65004925,0.0
다사65004350,0.38
