CELL_ID,4월_유출,4월_유입,4월_총이동,9월_유출,9월_유입,9월_총이동,일평균_유출,일평균_유입,일평균_총이동
다사58754750,9152.85,8926.75,18079.6,7639.86,7421.71,15061.57,8396.355,8174.23,16570.585
다사59754400,8999.2,8543.85,17543.05,8010.25,7575.59,15585.83,8504.725,8059.72,16564.44
다사56755775,8953,8661.45,17614.45,7844.84,7610.38,15455.21,8398.92,8135.915000000001,16534.83
다사44504775,8892.1,8613.85,17505.95,7902.8,7641.91,15544.72,8397.45,8127.88,16525.335
다사50505125,7071.4,12005,19076.4,5333.18,8639.08,13972.26,6202.29,10322.04,16524.33
다사53755150,8902.25,9523.5,18425.75,7026.56,7554.27,14580.83,7964.405000000001,8538.885,16503.29
다사59005125,8931.65,9306.15,18237.8,7173.22,7581.59,14754.81,8052.4349999999995,8443.869999999999,16496.305
다사47504500,9089.5,9084.95,18174.45,7473.9,7305.05,14778.95,8281.7,8195,16476.7
다사41755175,10724,10439.1,21163.1,5876.31,5906.37,11782.68,8300.155,8172.735000000001,16472.89
다사59004450,9056.25,8995.7,18051.95,7470.49,7422.26,14892.74,8263.369999999999,8208.98,16472.345
다사58755150,10064.95,9795.1,19860.05,6588.73,6463.67,13052.41,8326.84,8129.385,16456.23
다사60004500,8958.6,8982.4,17941,7512.12,7445.95,14958.07,8235.36,8214.175,16449.535
다사68254950,8382.5,8501.5,16884,7890.56,8061.35,15951.91,8136.530000000001,8281.425,16417.955
다사59504475,8604.75,8441.65,17046.4,7923.71,7804.8,15728.51,8264.23,8123.225,16387.455
다사60254475,8759.8,9289.35,18049.15,7153.34,7566.71,14720.05,7956.57,8428.03,16384.6
다사62754600,8010.45,7904.4,15914.85,8507.07,8299.58,16806.65,8258.76,8101.99,16360.75
다사59754700,8270.15,8326.5,16596.65,8135.08,7953.44,16088.52,8202.615,8139.969999999999,16342.585000000001
다사56505050,8724.1,9325.4,18049.5,7080.18,7546.61,14626.79,7902.14,8436.005,16338.145
다사57005475,8471.05,8763.3,17234.35,7534.42,7864.3,15398.72,8002.735,8313.8,16316.535
다사51754425,10196.55,7311.15,17507.7,8949.55,6050.63,15000.18,9573.05,6680.889999999999,16253.94
다사65254425,9535.4,9026.85,18562.25,7150.78,6752.29,13903.07,8343.09,7889.57,16232.66
다사63005150,8315.65,8135.4,16451.05,8075.75,7898.06,15973.81,8195.7,8016.73,16212.43
다사66004350,8954.4,8803.55,17757.95,7381.29,7248.1,14629.39,8167.844999999999,8025.825,16193.67
다사46504300,8197.35,7881.65,16079,8314.04,7945.38,16259.41,8255.695,7913.514999999999,16169.205
다사41254975,8412.25,8402.1,16814.35,7871.94,7643.45,15515.39,8142.094999999999,8022.775,16164.869999999999
다사48754775,7680.05,7836.85,15516.9,8321.09,8445.22,16766.32,8000.57,8141.035,16141.61
다사49254450,8462.3,8835.05,17297.35,7291.06,7666.27,14957.33,7876.68,8250.66,16127.34
다사57505475,8660.05,9144.8,17804.85,6979.24,7462.17,14441.41,7819.6449999999995,8303.485,16123.13
다사61254375,8253.35,8192.1,16445.45,7917.58,7881.08,15798.67,8085.465,8036.59,16122.060000000001
다사59504200,9146.9,8982.05,18128.95,7089.84,6981.95,14071.78,8118.37,7982,16100.365000000002
다사46504275,9193.8,9238.95,18432.75,6827.65,6867.74,13695.4,8010.724999999999,8053.345,16064.075
다사49004775,8152.9,8114.75,16267.65,7919.89,7922.52,15842.41,8036.395,8018.635,16055.029999999999
다사53004875,8398.95,8163.4,16562.35,7832.99,7684.66,15517.65,8115.97,7924.03,16040
다사64504600,8836.45,8922.55,17759,7094.08,7183.56,14277.63,7965.265,8053.055,16018.314999999999
다사61256175,7682.85,8048.25,15731.1,7906.52,8248.35,16154.86,7794.685,8148.3,15942.98
다사48755025,8046.85,8339.45,16386.3,7540.42,7947.23,15487.64,7793.635,8143.34,15936.97
다사50255075,8738.8,9291.45,18030.25,6684.45,7149.02,13833.47,7711.625,8220.235,15931.86
다사47004650,9025.8,8910.65,17936.45,6950.53,6937.75,13888.29,7988.164999999999,7924.2,15912.37
다사41005125,7412.65,7651,15063.65,8182.03,8549.31,16731.33,7797.34,8100.155,15897.490000000002
다사60005075,10956.75,6900.95,17857.7,8386.19,5447.29,13833.48,9671.470000000001,6174.12,15845.59
다사54005275,8369.2,8511.65,16880.85,7298.72,7464.76,14763.48,7833.960000000001,7988.205,15822.164999999999
다사64754625,9839.55,9651.95,19491.5,6084.16,5986.17,12070.34,7961.855,7819.06,15780.92
다사62755850,8451.8,8489.6,16941.4,7249.85,7341.27,14591.12,7850.825,7915.435,15766.260000000002
다사63505350,8178.8,8397.55,16576.35,7335.49,7546.81,14882.31,7757.145,7972.18,15729.329999999998
다사61506275,8328.6,7995.05,16323.65,7738.11,7392.08,15130.19,8033.355,7693.5650000000005,15726.92
