역사명,호선,환승역수,공원수,공원면적합산(㎡),도시자연공원수,한강공원수,daily_avg,위도,경도,러닝_segment수,보정_이용자수합계,보정_누적기록합계,거리보정_이용자수합계,거리보정_누적기록합계,평균_segment_매핑역수,평균_코스거리,평균_경사,평균_역_segment거리_m,최소_역_segment거리_m,cluster,cluster_label
회기,중앙선,1,2,442693.6,0,0,51281,37.58946,127.057583,3.0,992.0,80063.0,992.0,80063.0,1.0,1.5336666666666667,-0.1333333333333333,560.0133333333333,410.14,2,도심공원형
응봉,경원선,1,2,1013714.5,0,0,3436,37.549946,127.034538,7.0,31734.83333333333,176922.75,34867.16251467488,192289.90629109737,2.4285714285714284,2.317285714285714,-0.5142857142857142,517.8371428571429,144.18,2,도심공원형
혜화,4호선,1,5,926461.2,1,0,73187,37.582336,127.001844,2.0,1242.5357142857142,6609.5,568.473536789453,2082.464123376791,5.5,1.613,0.15,619.21,450.98,2,도심공원형
한성대입구(삼선교),4호선,1,4,524857.9,1,0,28164,37.588458,127.006221,4.0,1552.5357142857142,7802.5,2807.9714541336,15769.58874098428,3.5,2.104,3.1,274.425,38.78,3,도시자연공원인접형
수유(강북구청),4호선,1,2,1394510.5,0,0,66513,37.638052,127.025732,3.0,1496.4,21838.2,1384.2417746219664,20728.19613509405,3.0,1.3946666666666665,2.833333333333333,659.1566666666666,557.65,2,도심공원형
쌍문,4호선,1,2,427492.8,0,0,54359,37.648627,127.034709,4.0,1766.4,54107.2,1617.6683561697546,57566.49499774448,2.75,1.20865,1.275,696.0425,489.69,2,도심공원형
상계,4호선,1,2,28585.0,2,0,36697,37.660878,127.073572,3.0,1006.9444444444443,14360.388888888889,1071.3785163397552,15323.127865145916,4.0,4.911,3.333333333333333,337.6166666666666,177.99,3,도시자연공원인접형
불암산,4호선,1,0,0.0,2,0,17698,37.670272,127.079066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,도시자연공원인접형
경찰병원,3호선,1,7,326073.1,0,0,14012,37.495918,127.12454,4.0,87.16666666666667,551.3333333333333,90.02442778966147,592.726887250416,3.0,1.505,1.725,410.74,166.38,2,도심공원형
대청,3호선,1,7,855001.9,0,0,19981,37.493514,127.079532,4.0,1116.9,18366.766666666663,775.8196102637438,16623.345661777996,3.5,1.92775,0.125,558.605,172.0,2,도심공원형
학여울,3호선,1,7,855671.0,0,0,4952,37.496663,127.070594,5.0,8231.65,40387.76666666667,7927.215475951913,38514.87000879668,4.6,3.3839999999999995,1.98,600.088,250.64,2,도심공원형
대치,3호선,1,9,497280.0,0,0,24111,37.494612,127.063642,3.0,791.15,5802.1,429.0045428811002,3143.156199313712,5.666666666666667,4.43,0.0,606.63,503.47,2,도심공원형
매봉,3호선,1,6,693377.7,0,0,23461,37.486947,127.046769,5.0,4725.583333333333,24850.5,4495.594090648537,23408.255743378155,3.4,3.119,1.4200000000000002,475.124,388.39,2,도심공원형
남부터미널(예술의전당),3호선,1,0,0.0,1,0,59783,37.485013,127.016189,4.0,2103.333333333333,161004.33333333334,1940.6618128744376,140667.22962485073,1.5,0.644,9.825,519.4525,409.81,3,도시자연공원인접형
금호,3호선,1,2,110130.5,1,0,15133,37.548034,127.015872,1.0,11.0,13.0,3.957820072014511,4.677423721471695,2.0,0.59,7.4,301.92,301.92,3,도시자연공원인접형
동대입구,3호선,1,0,0.0,1,0,23177,37.559052,127.005602,5.0,19180.6,173684.0,19829.59838957552,176602.19246113824,4.4,2.4692,3.78,527.892,31.74,3,도시자연공원인접형
안국,3호선,1,7,1341209.5,0,0,54901,37.576477,126.985443,2.0,14098.75,73463.5,13327.226208319618,69516.83192644347,2.5,1.721,-0.4,606.64,528.55,2,도심공원형
경복궁(정부서울청사),3호선,1,6,721735.3,1,0,53613,37.575762,126.97353,3.0,2139.75,8893.5,4551.409517071481,21144.91100456096,2.6666666666666665,1.8873333333333333,-2.1666666666666665,442.9933333333333,82.83,2,도심공원형
독립문,3호선,1,2,275424.7,2,0,15968,37.574571,126.957748,7.0,7323.833333333334,17327.166666666664,8063.41204819373,19116.86033464254,2.142857142857143,1.999428571428572,8.557142857142857,561.9342857142857,337.03,3,도시자연공원인접형
무악재,3호선,1,1,112606.1,2,0,8100,37.582299,126.950291,7.0,13038.333333333334,29790.666666666664,12293.735826322976,28020.468145791136,1.7142857142857142,1.8337142857142856,10.842857142857143,632.0828571428572,289.91,3,도시자연공원인접형
