CELL_ID,위도,경도,생활이동인구,스트라바이용자수,거주인구,녹시율,공원겹침비율
다사63004875,37.538459739523645,127.08260193283462,19469.145,0.0,2414.7,0.5681741305499143,0.0
다사63504525,37.506932712483476,127.08843476187663,19281.25,0.0,1676.6,0.2940846003521906,0.0
다사60754525,37.5068202068317,127.0573206845619,18717.115,0.0,1105.4,1.0,0.0
다사62255000,37.54969611522297,127.07404859525349,19120.155,0.0,1603.0,0.1493776607043204,0.001
다사51005025,37.551421296357475,126.9466758665332,10406.455,0.0,1634.1,0.3058006949945237,0.0
다사47004250,37.48134850039561,126.90195091641681,26280.44,0.0,1825.0,0.182812650736118,0.0
다사62004900,37.54067252714605,127.07127004771475,18374.095,0.0,1281.2,0.6003629487160552,0.0
다사67254350,37.491299331341224,127.1309409551724,17851.74,0.0,2009.4,0.3538423450761118,0.115
다사54505175,37.5651201522405,126.98620575970233,18331.835,0.0,169.1,0.4286775434794903,0.0
다사51504400,37.49511507078181,126.95274786622808,17286.015,0.0,1874.6,0.1928827158439682,0.025
다사62506100,37.64885223916757,127.07631691940279,15492.595,0.0,1883.9,1.0,0.0
다사62505075,37.55646629519152,127.0768405458818,18170.68,0.0,1623.2,0.0182742555506738,0.0
다사57004950,37.54496012151877,127.01464457086263,17840.52,0.0,838.7,0.2275246205028409,0.0
다사55755250,37.57194081417549,127.00031421360696,18465.425,0.0,0.0,0.0,0.0
다사57755950,37.635126867959556,127.02255906196625,16942.6,0.0,993.7,0.7635159597703773,0.0
다사50754100,37.46803565376037,126.94446393320838,19302.445,0.0,182.1,0.0,0.499
다사49005100,37.558072866296946,126.92398244488636,17830.955,285.0,897.6,0.715888122759754,0.0
다사54505275,37.57413334900933,126.9861438410755,17852.739999999998,0.0,0.0,0.0,0.0
다사62754600,37.51366289793798,127.07991120291094,16360.75,0.0,812.3,0.0134511933965114,0.0
다사48754775,37.52876632071748,126.92137846568264,16141.61,0.0,245.1,0.1435853392132555,0.0
다사49254725,37.52428732262529,126.92707156334473,18591.74,0.0,245.1,1.0,0.0
다사50505150,37.56266107126558,126.94093133854018,17997.364999999998,0.0,468.1,0.1486138598567352,0.0
다사60005350,37.58114798281979,127.04838671462129,18116.39,0.0,1723.2,0.1696164931200919,0.0
다사58755625,37.60587934081095,127.03407547043398,17490.440000000002,0.0,2000.2,0.1741561200606986,0.0
다사70505075,37.55675617131539,127.16741489419894,18081.32,0.0,262.0,1.0,0.0
다사41005125,37.55984948123853,126.83338990618951,15897.490000000002,0.0,451.8,0.0,0.0
다사45504225,37.479008114073764,126.88500433524715,15102.805,0.0,615.0,0.4001111184430407,0.0
다사58004400,37.49543281094565,127.02627797326171,18127.175,0.0,1295.7,0.3647241636256548,0.0
다사42755150,37.56221293796095,126.85318356480174,13595.215,0.0,1340.6,0.1804953321369458,0.0
다사53004750,37.5267388767568,126.96949301769884,13248.43,160.0,460.4,0.0,0.0
다사58254375,37.49319077524781,127.02912022439146,18404.96,0.0,1205.3,0.8509606643711077,0.0
다사45504650,37.51731399582428,126.88469009931454,12331.89,0.0,1125.3,0.8391229656474336,0.0
다사51755100,37.55822066081825,126.95511720217053,16995.56,0.0,2136.3,0.5355473765976756,0.0
다사46504300,37.48582633536914,126.89625962900503,16169.205,0.0,1402.7,0.4276918074820111,0.0
다사69755050,37.55447859157379,127.15893376581091,16643.055,0.0,2.5,0.182915105368886,0.907
다사66254500,37.50478365832313,127.11956044105088,15711.82,0.0,1837.9,0.4254820633292853,0.0
다사61256175,37.655560376078434,127.06210759752703,15942.98,0.0,1663.6,0.5283673196789509,0.0
다사50755450,37.589713813721175,126.94356077107831,15526.31,0.0,1026.3,0.3453502952741586,0.0
다사57004400,37.495386906551246,127.01496557520375,14922.05,0.0,2136.4,0.216610990735622,0.0
다사59754700,37.522550644754475,127.0459109576506,16342.585,0.0,664.6,0.0815743085697273,0.0
다사46004550,37.50833019962544,126.89042113788115,23660.815,0.0,1693.3,0.0482387088322793,0.0
다사61004550,37.50908412031717,127.06013600794161,22666.405,231.3333333333333,434.8,0.4264727785740876,0.0
다사63005150,37.56324644933636,127.08246368163314,16212.43,0.0,1840.5,0.7993375659113175,0.0
다사61256200,37.657813666810284,127.06209436373604,16756.355,0.0,1768.5,0.0,0.0
다사53755225,37.569589482932884,126.97768214611739,17772.4,3924.0,200.8,0.4010731680024665,0.0
다사67254850,37.53636662115227,127.13071896628215,17238.915,0.0,2609.7,0.3747955542814468,0.0
다사68254950,37.5454149010175,127.14199462507568,16417.955,0.0,2375.4,1.0,0.0
다사58255425,37.58783041627462,127.02852466536027,18357.885,12.8,679.4,0.0,0.0
다사61005500,37.59471066682615,127.05963248368657,16737.095,0.0,1075.1,0.6628479624075715,0.0
다사66754200,37.47776128156626,127.12535250715122,16987.45,0.0,850.7,0.1002197001080354,0.0
다사49004775,37.52878014912507,126.92420777966753,16055.03,1205.5,245.1,0.5140464442932273,0.256
다사56255175,37.56520472480954,127.0060208272185,17088.16,0.0,487.5,0.8690344890876438,0.0
다사61254375,37.49332116633501,127.0630565670383,16122.06,0.0,1767.7,0.6962570583959211,0.0
다사51004325,37.4883287897427,126.947141581947,13414.92,0.0,2613.0,0.5174816751761595,0.0
다사59504475,37.50225967249041,127.04320544006342,16387.455,33.0,1705.3,0.919120826195636,0.0
다사57255525,37.5967978356795,127.01714006352135,18201.305,0.0,1956.1,0.051065189420858,0.0
다사51004925,37.54240812279998,126.94674248624665,15007.32,0.0,1683.6,1.0,0.0
다사58004450,37.49993949161472,127.02624950332745,20351.555,0.0,1709.2,0.606099354275216,0.0
다사59754400,37.49551053721521,127.04607473051836,16564.44,33.0,2015.5,0.6415696129102232,0.0
다사57005175,37.56523995217481,127.01451302405867,16736.010000000002,0.0,869.8,0.3305006975215297,0.0
다사44504775,37.52852086810312,126.8732804322382,16525.335,0.0,1321.4,1.0,0.33
다사53004875,37.53800541393285,126.96941320797286,16040.0,0.0,1812.4,0.6957250046535904,0.0
다사60006100,37.64874705634887,127.04797769755045,15102.645,0.0,1344.2,0.3083818950648922,0.042
다사41254975,37.546345960054,126.8363402479248,16164.87,0.0,2377.9,0.4542163148254605,0.0
다사61004525,37.50683077325921,127.06014922982575,19017.185,0.0,1257.5,0.3147872019558647,0.0
다사48755025,37.55129918192329,126.92120430872596,15936.97,0.0,897.6,0.6215100119832271,0.0
다사54755200,37.567385739126514,126.98902108672844,16723.195,18824.333333333336,148.3,0.9906422083653456,0.0
다사56755775,37.61930745993503,127.01132880438965,16534.83,0.0,2681.2,0.5071924193819439,0.002
다사58504400,37.4954553569486,127.03193418183807,14558.825,0.0,908.6,0.4029008985788799,0.0
다사67504700,37.52285528098245,127.13361479069827,15331.59,54.57692307692308,1627.2,0.6840848898299977,0.001
