id,name,athlete_count,effort_count,distance_km,avg_grade,city,start_lat,start_lng,end_lat,end_lng
41052032,사거리- 도덕산,40,135,1.5,10.5,Cheolsan 3(sam)-dong,37.476411,126.862806,37.465761,126.857536
6715252,Segment,39,133,0.41,12.3,South Korea,37.476734,126.92486,37.474639,126.926996
12287132,Garlands,39,142,0.13,8.0,Seoul,37.514818,127.037417,37.513854,127.037417
36834709,[HOTRC] 다산숲 생태공원 업힐 (by.구르는팬더),38,212,0.41,5.7,다산2동,37.60101,127.171861,37.603455,127.173659
22303260,궁동저수지생태공원 동측,38,252,0.3,0.0,Guro-gu,37.500743,126.829231,37.50079,126.82915
8882136,Aebongsan Ridge (from the north),38,42,3.02,-0.4,Seoul,37.635942,126.915318,37.620224,126.903689
38405940,1K Training Hill,38,215,1.0,3.4,주교동,37.665271,126.826805,37.673638,126.827328
25921927,TRB화랑 - 수어장대 업힐,36,123,0.79,24.1,Hanam-si,37.480243,127.168461,37.478803,127.173837
18334410,600m,36,341,0.58,-1.0,Goyang-si,37.663165,126.841001,37.659581,126.836576
37103283,영글이누리길. 약수터까지,36,188,1.5,2.6,식사동,37.67462,126.820993,37.676713,126.831834
15153144,관악산 과천교회 > 산불감시초소(업힐),35,84,0.76,22.3,Gwacheon-si,37.435106,126.990981,37.438186,126.985191
6693837,Segment,35,81,0.44,11.3,South Korea,37.470972,126.925709,37.47456,126.927015
10116063,천장산 업힐 1,35,182,0.69,10.9,Seoul,37.605906,127.054992,37.602074,127.051736
26071372,관악산생태공원 런-업힐 [kwssite],35,176,0.34,13.2,Gwanak-gu,37.46937,126.911478,37.467198,126.913313
13611564,Winding path down the hill,34,301,0.41,-4.0,Seoul,37.588762,127.04709,37.591416,127.046297
5596335,Segment,33,33,0.6,8.3,South Korea,37.484119,127.04195,37.488712,127.042579
40789334,갈산둘레길 CCW,32,419,1.45,-1.0,Sinwol 7(chil)-dong,37.505565,126.866833,37.505571,126.866834
17591137,관용사임도,32,77,0.68,14.7,Guri-si,37.585705,127.11875,37.58154,127.113601
23169249,상아산-김재로묘 입구 Holic,31,62,1.38,-7.5,Namdong-gu,37.454259,126.765535,37.447715,126.765844
13875662,[hirun]망원정8km_몸풀기코스1,31,71,8.39,0.0,Seoul,37.549706,126.902333,37.549652,126.902404
14144972,은평뉴타운 - 안에,31,147,1.3,-2.0,Seoul,37.633873,126.931801,37.63444,126.917396
6194390,Segment,30,102,1.11,3.8,South Korea,37.49296,127.150064,37.489974,127.161184
9759312,봉화산 한바퀴(성덕사 약수터 큰바위),30,116,3.66,0.4,Seoul,37.60618,127.084968,37.606064,127.089038
19119777,Mini MHJ LOOP,30,51,5.51,-0.0,Eunpyeong-gu,37.588447,126.913821,37.588481,126.913811
6487434,Segment,30,40,0.65,8.5,South Korea,37.456501,126.990357,37.460106,126.99234
5733241,Segment,30,76,1.11,9.0,South Korea,37.628147,126.898648,37.631222,126.904405
18101906,1.0km ,29,865,0.99,0.0,Goyang-si,37.663006,126.84094,37.663115,126.841125
23104843,마곡중앙광장(CCW#2) by JWSWdaddy,29,150,0.3,0.1,Gangseo-gu,37.564486,126.826092,37.564491,126.826097
4144956,Seoul World Cup Park 10K,29,30,10.01,0.0,South Korea,37.564538,126.894925,37.564645,126.894909
8134192,공원한바퀴,27,566,0.22,0.1,Seoul,37.468381,126.926028,37.468372,126.926054
32746602,GR Park Clockwise_JK,27,291,0.33,-0.1,Songpa-gu,37.498372,127.124432,37.498392,127.124475
6259216,Segment,26,72,0.93,5.3,South Korea,37.601911,127.021319,37.599377,127.017127
