역사명,공원수,공원목록,한강공원수,한강공원목록,호선1,호선2,호선3,호선4,호선5,총 호선 수
대치,9,"개포동, 개포서, 늘벚, 달터<시공원>, 대치, 배밭, 양재천, 학여울, 한티",0,없음,3호선,,,,,1
도곡,8,"개포서, 늘벚, 달터<시공원>, 도곡근린공원, 배밭, 양재천, 청룡, 한티",0,없음,분당선,3호선,,,,2
매봉,6,"달터<시공원>, 도곡근린공원, 독골, 양재천, 청룡, 포이",0,없음,3호선,,,,,1
양재(서초구청),2,"도곡근린공원, 우면산<시공원>",0,없음,신분당선,3호선,,,,2
남부터미널(예술의전당),1,우면산<시공원>,0,없음,3호선,,,,,1
교대(법원.검찰청),1,서리풀<시공원>,0,없음,3호선,2호선,,,,2
고속터미널,1,서리풀<시공원>,0,없음,9호선,7호선,3호선,,,3
잠원,3,"명주, 신동, 잠원지구",1,잠원,3호선,,,,,1
신사,3,"명주, 신동, 학동",0,없음,신분당선(연장2),3호선,,,,2
압구정,3,"도산, 신사, 잠실지구",0,없음,3호선,,,,,1
옥수,2,"남산, 뚝섬지구",0,없음,경원선,3호선,,,,2
금호,3,"금호, 남산, 응봉공원",0,없음,3호선,,,,,1
약수,2,"남산, 응봉공원",0,없음,6호선,3호선,,,,2
동대입구,1,남산,0,없음,3호선,,,,,1
충무로,1,남산,0,없음,4호선,3호선,,,,2
을지로3가,4,"남산, 종묘, 종묘광장, 탑골",0,없음,3호선,2호선,,,,2
종로3가,6,"원서, 종묘, 종묘광장, 창경, 창덕, 탑골",0,없음,5호선,3호선,1호선,,,3
안국,7,"경복, 광화문열린마당, 원서, 종묘, 창경, 창덕, 탑골",0,없음,3호선,,,,,1
경복궁(정부서울청사),7,"경복, 경희궁<시공원>, 광화문열린마당, 사직<시공원>, 세종로광장, 인왕산<시공원>, 정동",0,없음,3호선,,,,,1
독립문,4,"독립, 사직<시공원>, 안산<시공원>, 인왕산<시공원>",0,없음,3호선,,,,,1
무악재,3,"독립, 안산<시공원>, 인왕산<시공원>",0,없음,3호선,,,,,1
홍제,4,"(북한산, 백련<시공원>, 실락, 안산<시공원>",0,없음,3호선,,,,,1
녹번,3,"(북한산, 녹번서, 백련<시공원>",0,없음,3호선,,,,,1
불광,3,"(북한산, 녹번서, 불광<시공원>",0,없음,6호선,3호선,,,,2
연신내,1,불광<시공원>,0,없음,수도권 광역급행철도,6호선,3호선,,,3
구파발,0,없음,0,없음,3호선,,,,,1
용두(동대문구청),1,용두근린공원,0,없음,2호선,,,,,1
신정네거리,3,"계남<시공원>, 신트리, 장수공원",0,없음,2호선,,,,,1
양천구청,5,"갈산근린공원, 계남<시공원>, 신트리, 양천, 해누리체육공원",0,없음,2호선,,,,,1
도림천,0,없음,0,없음,2호선,,,,,1
신설동,2,"동묘, 숭인",0,없음,우이신설선,2호선,1호선,,,3
신답,3,"간데메, 용답휴식, 용두근린공원",0,없음,2호선,,,,,1
